Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786826919,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786826920,2,,Aggregated,0.000000,0.000000,120,120,140,140,140,140,140,140,140,140,140,4,0,94,105.28311424423009,66.33654097095132,139.52795800287277,2840.75
1786826921,4,,Aggregated,0.000000,0.000000,86,94,100,120,140,140,140,140,140,140,140,9,0,86,89.2688101157546,46.837500063702464,139.52795800287277,1707.0
1786826922,6,,Aggregated,0.000000,0.000000,85,94,100,100,120,140,140,140,140,140,140,13,0,85,83.45040061081258,42.32733394019306,139.52795800287277,2055.846153846154
1786826923,8,,Aggregated,2.000000,0.000000,86,100,120,140,200,430,430,430,430,430,430,20,0,85,107.97181249945424,38.962457911111414,430.03595899790525,2936.25
1786826924,10,,Aggregated,3.000000,0.000000,92,100,130,140,220,320,430,430,430,430,430,28,0,90,117.21638249166843,38.962457911111414,430.03595899790525,2706.8571428571427
1786826925,12,,Aggregated,3.250000,0.000000,92,120,130,140,200,320,430,430,430,430,430,38,0,90,112.93172814858784,38.962457911111414,430.03595899790525,2915.5
1786826926,14,,Aggregated,4.000000,0.000000,92,100,130,140,190,220,430,430,430,430,430,48,0,90,109.0550086980026,24.65562499128282,430.03595899790525,3058.6666666666665
1786826927,16,,Aggregated,4.666667,0.000000,94,130,170,180,270,350,430,540,540,540,540,57,0,94,130.1199744655669,24.65562499128282,539.368208963424,3164.8596491228072
1786826928,18,,Aggregated,5.428571,0.000000,100,140,180,200,310,430,510,540,540,540,540,69,0,100,145.18488835428667,24.65562499128282,539.368208963424,3046.623188405797
1786826929,20,,Aggregated,6.000000,0.000000,110,160,180,210,320,420,510,540,540,540,540,82,0,110,152.80968196712797,24.65562499128282,539.368208963424,3016.243902439024
1786826930,20,,Aggregated,6.333333,0.000000,110,160,190,220,340,420,510,540,540,540,540,87,0,110,153.71695885316993,24.65562499128282,539.368208963424,3000.7011494252874
1786826931,20,,Aggregated,6.900000,0.000000,130,190,240,300,410,470,540,610,650,650,650,103,0,130,181.23519339811202,24.65562499128282,651.3145829085261,2963.631067961165
1786826932,20,,Aggregated,8.200000,0.000000,130,180,220,280,410,470,540,610,650,650,650,111,0,130,175.92249479279056,24.65562499128282,651.3145829085261,2996.7567567567567
1786826933,20,,Aggregated,8.500000,0.000000,130,180,210,260,400,450,540,610,650,650,650,122,0,130,171.23954341991148,24.65562499128282,651.3145829085261,2818.0819672131147
1786826934,20,,Aggregated,9.700000,0.000000,130,180,210,260,400,450,540,610,650,650,650,139,0,130,170.87446795793238,24.65562499128282,651.3145829085261,2877.726618705036
1786826935,20,,Aggregated,9.800000,0.000000,130,170,200,240,390,430,540,610,650,650,650,147,0,130,166.20403689135904,24.65562499128282,651.3145829085261,2791.714285714286
1786826936,20,,Aggregated,10.300000,0.000000,130,170,190,240,390,430,510,610,650,650,650,164,0,130,165.56405972422488,24.65562499128282,651.3145829085261,2736.5365853658536
1786826937,20,,Aggregated,11.200000,0.000000,130,180,200,240,390,430,510,610,650,650,650,172,0,130,166.96344526094754,24.65562499128282,651.3145829085261,2749.8720930232557
1786826938,20,,Aggregated,11.000000,0.000000,130,180,200,240,350,430,510,610,650,650,650,186,0,130,167.47329234814032,24.65562499128282,651.3145829085261,2783.059139784946
1786826939,20,,Aggregated,11.600000,0.000000,130,180,200,240,350,430,510,610,650,650,650,194,0,130,166.3353879007117,24.65562499128282,651.3145829085261,2839.556701030928
1786826940,20,,Aggregated,11.600000,0.000000,130,170,200,240,340,420,490,540,650,650,650,210,0,130,163.38293791659885,24.65562499128282,651.3145829085261,2831.366666666667
1786826941,20,,Aggregated,11.700000,0.000000,130,170,190,230,330,420,490,540,650,650,650,220,0,120,158.95456100221384,24.65562499128282,651.3145829085261,2782.890909090909
1786826942,20,,Aggregated,11.200000,0.000000,130,180,200,240,320,410,490,540,650,650,650,233,0,130,162.75412948150588,24.65562499128282,651.3145829085261,2819.184549356223
1786826943,20,,Aggregated,12.200000,0.000000,130,180,210,240,330,430,490,540,650,650,650,243,0,130,167.17793674154566,24.65562499128282,651.3145829085261,2881.341563786008
1786826944,20,,Aggregated,11.500000,0.000000,130,180,230,260,350,430,490,610,920,920,920,252,0,130,174.48847768791316,24.65562499128282,920.8092089975253,2851.464285714286
1786826945,20,,Aggregated,12.400000,0.000000,130,180,220,260,350,450,540,920,1000,1000,1000,262,0,130,178.82665857327888,24.65562499128282,1006.8732089130208,2849.6832061068703
1786826946,20,,Aggregated,12.000000,0.000000,140,180,220,260,350,450,540,920,1000,1000,1000,274,0,140,178.43903270788002,24.65562499128282,1006.8732089130208,2811.0510948905107
1786826947,20,,Aggregated,11.300000,0.000000,130,180,220,260,360,470,550,920,1000,1000,1000,285,0,130,178.24034313957225,24.65562499128282,1006.8732089130208,2834.9508771929823
1786826948,20,,Aggregated,11.500000,0.000000,130,180,220,240,350,470,550,920,1000,1000,1000,297,0,130,175.41627961278326,24.65562499128282,1006.8732089130208,2795.3265993265995
